pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
155.475,-82.85,180.0,bottom,C1,,,C_0402_1005Metric,22uF,smt
153.175,-94.675,-90.0,bottom,C10,,,C_0402_1005Metric,100nF,smt
148.5,-96.725,90.0,bottom,C11,,,C_0402_1005Metric,12pF,smt
152.45,-96.85,90.0,bottom,C12,,,C_0402_1005Metric,12pF,smt
156.5,-103.05,0.0,bottom,C13,,,C_0402_1005Metric,1uF,smt
150.725,-107.0,180.0,top,C14,,,C_0402_1005Metric,22uF,smt
161.5,-96.6,0.0,bottom,C15,,,C_0402_1005Metric,1uF,smt
161.355,-90.275,0.0,bottom,C16,,,C_0402_1005Metric,1uF,smt
151.6,-110.65,-90.0,top,C17,,,C_0402_1005Metric,3.3nF,smt
150.23,-106.525,180.0,bottom,C18,,,C_0402_1005Metric,2.7nF,smt
152.325,-91.825,-90.0,bottom,C19,,,C_0402_1005Metric,10nF,smt
151.625,-101.225,180.0,bottom,C2,,,C_0402_1005Metric,1uF,smt
161.55,-97.55,0.0,bottom,C20,,,C_0402_1005Metric,10nF,smt
158.925,-98.9,180.0,bottom,C21,,,C_0402_1005Metric,10nF,smt
157.425,-91.225,180.0,top,C22,,,C_0402_1005Metric,10nF,smt
153.5,-101.175,0.0,bottom,C3,,,C_0402_1005Metric,10uF,smt
152.775,-100.875,180.0,top,C4,,,C_0402_1005Metric,100nF,smt
159.375,-91.475,180.0,top,C5,,,C_0402_1005Metric,100nF,smt
151.655,-99.025,180.0,bottom,C6,,,C_0402_1005Metric,100nF,smt
161.25,-90.525,180.0,top,C7,,,C_0402_1005Metric,1uF,smt
161.625,-96.9,180.0,top,C8,,,C_0402_1005Metric,100nF,smt
150.75,-101.525,0.0,top,C9,,,C_0402_1005Metric,1uF,smt
158.9,-109.85,90.0,top,D1,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2.6~3.1 Fv Green 5ma,smt
160.85,-108.7,0.0,top,J1,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
149.95,-84.895,180.0,top,J10,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
149.725,-89.275,90.0,bottom,J11,,,fpc_7pin_0.3mm_connector Aces,FPC 0.3mm Aces 51688-0070M,smt
