Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14",0402,2,22uF,C415703
"C10, C4, C5, C6, C8",0402,5,100nF,C1525
"C11, C12",0201,2,12pF,C384960
"C13, C15, C16, C2, C7, C9",0402,6,1uF,C52923
C17,0402,1,3.3nF,C272874
C18,0402,1,2.7nF,C541392
"C19, C20, C21, C22",0402,4,10nF,C318576
C3,0402,1,10uF,C15525
D1,0603,1,2.6~3.1 Fv Green 5ma,C3028858
"J1, J10, J12, J15, J2, J4, J6, J7, J9",Precidip 853-87-004-20-001101,9,Precidip 853-87-004-20-001101,
"J11, J3, J5, J8",fpc_7pin_0.3mm_connector Aces,4,FPC 0.3mm Aces 51688-0070M,
"J13, J16",TE_mezzanine_rec_3-2363961-0,2,TE 3-2363961-0 receptacle,C425103
J18,Precidip 852-10-004-20-001101,1,Precidip 852-10-004-20-001101,
"R1, R14",0402,2,100k,C25741
R10,0402,1,100 ohm,C185392
R11,0402,1,470k,C25790
R12,0402,1,332k,C138005
"R13, R17, R18, R19, R2, R20, R22, R7",0402,8,10k,C25744
R15,0402,1,6.04k,C321224
R16,0402,1,120ohm,C25079
R21,0402,1,150k,C25755
"R3, R4, R5",0402,3,33ohm,C25105
R6,0201,1,22 ohm,C155743
"R8, R9",0402,2,2.2k,C25879
"SW1, SW2",R-667995_MIT,2,Mitsumi R-667996,C4365007
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3 FN8,C3013940
"U2, U5",DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,2,SN74LV595A,C6297201
U3,SOT-583-8,1,THVD1420DRLR,C3235555
U4,QFN-10_10VQFN_2x2mm_P0.5mm,1,TPS2521ARPWR,C3662707
U6,SOT-363_SC-70-6,1,TS5A3159DCK,C46388
Y1,Crystal_SMD_1612-4Pin_1.6x1.2mm,1,"2 pin 40MHZ, 10ppm tol., 20ppm stab., 10pF",C49158191
