Designator,Mid X,Mid Y,Rotation,Layer
C1,155.475,-82.85,0.0,bottom
C10,153.175,-94.675,270.0,bottom
C11,148.4,-96.8,270.0,top
C12,151.09952,-96.881648,270.0,top
C13,156.5,-103.05,180.0,bottom
C14,150.725,-107.0,180.0,top
C15,161.5,-96.6,180.0,bottom
C16,161.355,-90.275,180.0,bottom
C17,151.6,-110.65,270.0,top
C18,150.23,-106.525,0.0,bottom
C19,152.325,-91.825,270.0,bottom
C2,151.625,-101.225,0.0,bottom
C20,161.55,-97.55,180.0,bottom
C21,158.925,-98.9,0.0,bottom
C22,157.425,-91.225,180.0,top
C3,153.5,-101.175,180.0,bottom
C4,152.775,-100.875,180.0,top
C5,159.375,-91.475,180.0,top
C6,151.655,-99.025,0.0,bottom
C7,161.25,-90.525,180.0,top
C8,161.625,-96.9,180.0,top
C9,150.75,-101.525,0.0,top
D1,158.9,-109.85,90.0,top
J11,149.725,-89.275,90.0,bottom
J13,155.4,-104.3,0.0,top
J16,155.4,-89.3,0.0,top
J3,161.1,-104.2,270.0,bottom
J5,149.715,-104.2,90.0,bottom
J8,161.075,-88.0,270.0,bottom
R1,159.225,-101.65,90.0,top
R10,158.175,-109.475,180.0,bottom
R11,152.2,-106.8,0.0,bottom
R12,153.6,-106.5,270.0,bottom
R13,159.05,-95.85,270.0,bottom
R14,152.575,-110.625,90.0,top
R15,149.925,-107.5,180.0,bottom
R16,158.15,-82.825,0.0,bottom
R17,160.9,-102.425,180.0,top
R18,149.25,-101.775,0.0,bottom
R19,161.25,-89.475,0.0,top
R2,161.415,-106.6,180.0,bottom
R20,149.55,-86.925,0.0,bottom
R21,152.025,-109.2,180.0,top
R22,160.325,-86.7,180.0,top
R3,151.2,-91.3,180.0,top
R4,149.7,-91.565001,90.0,top
R5,151.375,-94.8,180.0,bottom
R6,150.782334,-97.85,0.0,top
R7,152.625,-107.0,180.0,top
R8,158.775,-107.275,90.0,top
R9,157.675,-107.45,90.0,top
SW1,161.3,-105.1,90.0,top
SW2,149.5,-104.2,90.0,top
U1,155.575,-96.1,0.0,top
U2,158.45,-92.075,0.0,bottom
U3,152.375,-85.075,180.0,bottom
U4,152.625,-109.525,90.0,bottom
U5,155.65,-96.25,90.0,bottom
U6,158.35,-84.725,0.0,bottom
Y1,149.7,-96.7,180.0,top
